entry,at,order
"""Cam @ -CWFnEN9Li"" calls 2",2026-02-05T04:25:38.032Z,177026553803200
"""Ian @ yrSbbM5VuT"" folds",2026-02-05T04:25:32.307Z,177026553230700
"""Peter @ YOLNz3ZCNR"" calls 2",2026-02-05T04:25:24.162Z,177026552416200
"""Megan @ YhjZMT3yjF"" posts a big blind of 2",2026-02-05T04:25:14.834Z,177026551483410
"""Connor @ SgqM1BL9TF"" posts a small blind of 1",2026-02-05T04:25:14.834Z,177026551483409
"Your hand is 6♦, 10♥",2026-02-05T04:25:14.834Z,177026551483406
"Player stacks: #1 ""Connor @ SgqM1BL9TF"" (1250) | #2 ""Megan @ YhjZMT3yjF"" (613) | #3 ""Peter @ YOLNz3ZCNR"" (394) | #4 ""Ian @ yrSbbM5VuT"" (485) | #8 ""Cam @ -CWFnEN9Li"" (399) | #9 ""grandpashortz @ b8EutyhaTC"" (659)",2026-02-05T04:25:14.834Z,177026551483402
"-- starting hand #47 (id: hjs8sxg5uevv)  No Limit Texas Hold'em (dead button) --",2026-02-05T04:25:14.834Z,177026551483401
"The player ""stoneman42069666 @ 2YpVmUeLk7"" quits the game with a stack of 0.",2026-02-05T04:25:14.834Z,177026551483400
"-- ending hand #46 --",2026-02-05T04:25:08.824Z,177026550882404
"""stoneman42069666 @ 2YpVmUeLk7"" shows a 6♠, 8♥.",2026-02-05T04:25:08.824Z,177026550882403
"""Cam @ -CWFnEN9Li"" collected 212 from pot with Flush, K High (combination: 3♣, 5♣, 9♣, 10♣, K♣)",2026-02-05T04:25:08.824Z,177026550882402
"""Cam @ -CWFnEN9Li"" shows a 10♣, 5♣.",2026-02-05T04:25:08.824Z,177026550882401
"Uncalled bet of 157 returned to ""Cam @ -CWFnEN9Li""",2026-02-05T04:25:08.824Z,177026550882400
"""Peter @ YOLNz3ZCNR"" folds",2026-02-05T04:25:07.918Z,177026550791800
"""Connor @ SgqM1BL9TF"" folds",2026-02-05T04:24:43.324Z,177026548332400
"""stoneman42069666 @ 2YpVmUeLk7"" calls 53 and go all in",2026-02-05T04:24:39.461Z,177026547946100
"""Cam @ -CWFnEN9Li"" bets 210",2026-02-05T04:24:32.177Z,177026547217700
"""Peter @ YOLNz3ZCNR"" checks",2026-02-05T04:24:26.405Z,177026546640500
"""Connor @ SgqM1BL9TF"" checks",2026-02-05T04:24:17.379Z,177026545737900
"""stoneman42069666 @ 2YpVmUeLk7"" checks",2026-02-05T04:24:14.915Z,177026545491500
"River: 6♥, 7♥, K♣, 3♣ [9♣]",2026-02-05T04:24:12.944Z,177026545294400
"""grandpashortz @ b8EutyhaTC"" folds",2026-02-05T04:24:12.124Z,177026545212400
"""Cam @ -CWFnEN9Li"" calls 21",2026-02-05T04:24:08.388Z,177026544838800
"""Peter @ YOLNz3ZCNR"" calls 21",2026-02-05T04:24:06.544Z,177026544654400
"""Connor @ SgqM1BL9TF"" calls 21",2026-02-05T04:23:55.570Z,177026543557000
"""stoneman42069666 @ 2YpVmUeLk7"" bets 21",2026-02-05T04:23:53.877Z,177026543387700
"Turn: 6♥, 7♥, K♣ [3♣]",2026-02-05T04:23:47.861Z,177026542786100
"""grandpashortz @ b8EutyhaTC"" calls 2",2026-02-05T04:23:47.030Z,177026542703000
"""Cam @ -CWFnEN9Li"" calls 2",2026-02-05T04:23:44.195Z,177026542419500
"""Ian @ yrSbbM5VuT"" folds",2026-02-05T04:23:37.314Z,177026541731400
"""Peter @ YOLNz3ZCNR"" calls 2",2026-02-05T04:23:31.137Z,177026541113700
"""Connor @ SgqM1BL9TF"" calls 2",2026-02-05T04:23:27.821Z,177026540782100
"""stoneman42069666 @ 2YpVmUeLk7"" bets 2",2026-02-05T04:23:17.474Z,177026539747400
"Flop:  [6♥, 7♥, K♣]",2026-02-05T04:23:08.604Z,177026538860400
"""Connor @ SgqM1BL9TF"" checks",2026-02-05T04:23:07.740Z,177026538774000
"""stoneman42069666 @ 2YpVmUeLk7"" calls 2",2026-02-05T04:23:06.826Z,177026538682600
"""grandpashortz @ b8EutyhaTC"" calls 2",2026-02-05T04:23:04.908Z,177026538490800
"""Cam @ -CWFnEN9Li"" calls 2",2026-02-05T04:23:02.016Z,177026538201600
"""Ian @ yrSbbM5VuT"" calls 2",2026-02-05T04:23:01.025Z,177026538102500
"""Peter @ YOLNz3ZCNR"" calls 2",2026-02-05T04:22:58.680Z,177026537868000
"""Megan @ YhjZMT3yjF"" folds",2026-02-05T04:22:52.250Z,177026537225000
"""Connor @ SgqM1BL9TF"" posts a big blind of 2",2026-02-05T04:22:50.006Z,177026537000610
"""stoneman42069666 @ 2YpVmUeLk7"" posts a small blind of 1",2026-02-05T04:22:50.006Z,177026537000609
"Your hand is 9♦, 3♥",2026-02-05T04:22:50.006Z,177026537000605
"Player stacks: #1 ""Connor @ SgqM1BL9TF"" (1275) | #2 ""Megan @ YhjZMT3yjF"" (613) | #3 ""Peter @ YOLNz3ZCNR"" (419) | #4 ""Ian @ yrSbbM5VuT"" (487) | #8 ""Cam @ -CWFnEN9Li"" (265) | #9 ""grandpashortz @ b8EutyhaTC"" (663) | #10 ""stoneman42069666 @ 2YpVmUeLk7"" (78)",2026-02-05T04:22:50.006Z,177026537000601
"-- starting hand #46 (id: it7klxuxetdv)  No Limit Texas Hold'em (dealer: ""grandpashortz @ b8EutyhaTC"") --",2026-02-05T04:22:50.006Z,177026537000600
"-- ending hand #45 --",2026-02-05T04:22:43.998Z,177026536399802
"""Ian @ yrSbbM5VuT"" collected 250 from pot with Three of a Kind, 8's (combination: Q♠, K♥, 8♠, 8♣, 8♥)",2026-02-05T04:22:43.998Z,177026536399801
"""Ian @ yrSbbM5VuT"" shows a Q♠, 8♠.",2026-02-05T04:22:43.998Z,177026536399800
"""Megan @ YhjZMT3yjF"" calls 100",2026-02-05T04:22:43.155Z,177026536315500
"""Ian @ yrSbbM5VuT"" raises to 100",2026-02-05T04:22:40.968Z,177026536096800
"""Megan @ YhjZMT3yjF"" bets 50",2026-02-05T04:22:30.628Z,177026535062800
"River: 8♣, K♥, 2♣, 7♥ [8♥]",2026-02-05T04:22:19.825Z,177026533982500
"""Ian @ yrSbbM5VuT"" checks",2026-02-05T04:22:19.021Z,177026533902100
"""Megan @ YhjZMT3yjF"" checks",2026-02-05T04:22:15.605Z,177026533560500
"Turn: 8♣, K♥, 2♣ [7♥]",2026-02-05T04:22:10.858Z,177026533085800
"""Megan @ YhjZMT3yjF"" calls 16",2026-02-05T04:22:10.022Z,177026533002200
"""Connor @ SgqM1BL9TF"" folds",2026-02-05T04:22:08.813Z,177026532881300
"""stoneman42069666 @ 2YpVmUeLk7"" folds",2026-02-05T04:22:04.374Z,177026532437400
"""grandpashortz @ b8EutyhaTC"" folds",2026-02-05T04:21:59.978Z,177026531997800
"""Cam @ -CWFnEN9Li"" folds",2026-02-05T04:21:51.700Z,177026531170000
"""Ian @ yrSbbM5VuT"" raises to 16",2026-02-05T04:21:50.810Z,177026531081000
"""Megan @ YhjZMT3yjF"" raises to 4",2026-02-05T04:21:40.972Z,177026530097200
"""Connor @ SgqM1BL9TF"" calls 2",2026-02-05T04:21:36.324Z,177026529632400
"""stoneman42069666 @ 2YpVmUeLk7"" calls 2",2026-02-05T04:21:33.744Z,177026529374400
"""grandpashortz @ b8EutyhaTC"" bets 2",2026-02-05T04:21:30.218Z,177026529021800
"Flop:  [8♣, K♥, 2♣]",2026-02-05T04:21:25.121Z,177026528512100
"""stoneman42069666 @ 2YpVmUeLk7"" checks",2026-02-05T04:21:24.313Z,177026528431300
"""grandpashortz @ b8EutyhaTC"" calls 2",2026-02-05T04:21:23.277Z,177026528327700
"""Cam @ -CWFnEN9Li"" calls 2",2026-02-05T04:21:19.809Z,177026527980900
"""Ian @ yrSbbM5VuT"" calls 2",2026-02-05T04:21:18.846Z,177026527884600
"""Peter @ YOLNz3ZCNR"" folds",2026-02-05T04:21:15.648Z,177026527564800
"""Megan @ YhjZMT3yjF"" calls 2",2026-02-05T04:21:08.601Z,177026526860100
"""Connor @ SgqM1BL9TF"" calls 2",2026-02-05T04:21:04.324Z,177026526432400
"""stoneman42069666 @ 2YpVmUeLk7"" posts a big blind of 2",2026-02-05T04:21:02.783Z,177026526278310
"""grandpashortz @ b8EutyhaTC"" posts a small blind of 1",2026-02-05T04:21:02.783Z,177026526278309
"Your hand is Q♠, 8♠",2026-02-05T04:21:02.783Z,177026526278305
"Player stacks: #1 ""Connor @ SgqM1BL9TF"" (1279) | #2 ""Megan @ YhjZMT3yjF"" (731) | #3 ""Peter @ YOLNz3ZCNR"" (419) | #4 ""Ian @ yrSbbM5VuT"" (355) | #8 ""Cam @ -CWFnEN9Li"" (267) | #9 ""grandpashortz @ b8EutyhaTC"" (667) | #10 ""stoneman42069666 @ 2YpVmUeLk7"" (82)",2026-02-05T04:21:02.783Z,177026526278301
"-- starting hand #45 (id: z0w31gyllovi)  No Limit Texas Hold'em (dealer: ""Cam @ -CWFnEN9Li"") --",2026-02-05T04:21:02.783Z,177026526278300
"-- ending hand #44 --",2026-02-05T04:20:59.863Z,177026525986302
"""Cam @ -CWFnEN9Li"" collected 73 from pot",2026-02-05T04:20:59.863Z,177026525986301
"Uncalled bet of 194 returned to ""Cam @ -CWFnEN9Li""",2026-02-05T04:20:59.863Z,177026525986300
"""Ian @ yrSbbM5VuT"" folds",2026-02-05T04:20:58.942Z,177026525894200
"""Connor @ SgqM1BL9TF"" folds",2026-02-05T04:20:57.937Z,177026525793700
"""Cam @ -CWFnEN9Li"" bets 194 and go all in",2026-02-05T04:20:52.292Z,177026525229200
"Turn: 2♦, 4♦, 5♣ [3♠]",2026-02-05T04:20:44.490Z,177026524449000
"""Ian @ yrSbbM5VuT"" calls 21",2026-02-05T04:20:43.664Z,177026524366400
"""Connor @ SgqM1BL9TF"" calls 21",2026-02-05T04:20:37.359Z,177026523735900
"""stoneman42069666 @ 2YpVmUeLk7"" folds",2026-02-05T04:20:33.405Z,177026523340500
"""grandpashortz @ b8EutyhaTC"" folds",2026-02-05T04:20:31.043Z,177026523104300
"""Cam @ -CWFnEN9Li"" bets 21",2026-02-05T04:20:29.455Z,177026522945500
"Flop:  [2♦, 4♦, 5♣]",2026-02-05T04:20:08.007Z,177026520800700
"""grandpashortz @ b8EutyhaTC"" checks",2026-02-05T04:20:07.157Z,177026520715700
"""Cam @ -CWFnEN9Li"" calls 2",2026-02-05T04:20:03.559Z,177026520355900
"""Ian @ yrSbbM5VuT"" calls 2",2026-02-05T04:20:02.664Z,177026520266400
"""Peter @ YOLNz3ZCNR"" folds",2026-02-05T04:20:00.902Z,177026520090200
"""Megan @ YhjZMT3yjF"" folds",2026-02-05T04:19:54.083Z,177026519408300
"""Connor @ SgqM1BL9TF"" calls 2",2026-02-05T04:19:52.727Z,177026519272700
"""stoneman42069666 @ 2YpVmUeLk7"" calls 2",2026-02-05T04:19:51.832Z,177026519183200
"""grandpashortz @ b8EutyhaTC"" posts a big blind of 2",2026-02-05T04:19:47.533Z,177026518753310
"""Cam @ -CWFnEN9Li"" posts a small blind of 1",2026-02-05T04:19:47.533Z,177026518753309
"Your hand is 3♣, K♠",2026-02-05T04:19:47.533Z,177026518753305
"Player stacks: #1 ""Connor @ SgqM1BL9TF"" (1302) | #2 ""Megan @ YhjZMT3yjF"" (731) | #3 ""Peter @ YOLNz3ZCNR"" (419) | #4 ""Ian @ yrSbbM5VuT"" (378) | #8 ""Cam @ -CWFnEN9Li"" (217) | #9 ""grandpashortz @ b8EutyhaTC"" (669) | #10 ""stoneman42069666 @ 2YpVmUeLk7"" (84)",2026-02-05T04:19:47.533Z,177026518753301
"-- starting hand #44 (id: zsjutnyqrvrc)  No Limit Texas Hold'em (dealer: ""Ian @ yrSbbM5VuT"") --",2026-02-05T04:19:47.533Z,177026518753300
"-- ending hand #43 --",2026-02-05T04:19:41.531Z,177026518153101
"""Peter @ YOLNz3ZCNR"" collected 419 from pot with Full House, 9's over 5's (combination: 5♠, 5♥, 9♣, 9♦, 9♠)",2026-02-05T04:19:41.531Z,177026518153100
"River: A♥, 5♠, 5♥, 2♣ [9♠]",2026-02-05T04:19:37.525Z,177026517752500
"Turn: A♥, 5♠, 5♥ [2♣]",2026-02-05T04:19:33.480Z,177026517348000
"""Peter @ YOLNz3ZCNR"" shows a 9♣, 9♦.",2026-02-05T04:19:29.417Z,177026516941701
"""Connor @ SgqM1BL9TF"" shows a 7♥, 5♣.",2026-02-05T04:19:29.417Z,177026516941700
"""Connor @ SgqM1BL9TF"" calls 163",2026-02-05T04:19:28.578Z,177026516857800
"""stoneman42069666 @ 2YpVmUeLk7"" folds",2026-02-05T04:19:26.904Z,177026516690400
"""Cam @ -CWFnEN9Li"" folds",2026-02-05T04:19:25.996Z,177026516599600
"""Peter @ YOLNz3ZCNR"" raises to 163 and go all in",2026-02-05T04:19:22.216Z,177026516221600
"""Connor @ SgqM1BL9TF"" bets 50",2026-02-05T04:19:01.172Z,177026514117200
